Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1907931,ZD6716370,First Flight,delhi,29-Nov-2012,ajmer,30-Nov-2012,Delivered
1907932,ZD6716371,First Flight,delhi,28-Nov-2012,gurgaon,29-Nov-2012,Delivered
1907937,ZD6716372,First Flight,delhi,29-Nov-2012,patiala,1-Dec-2012,Delivered
1907949,ZD6716373,First Flight,delhi,29-Nov-2012,chandigarh,--,In Transit[Contact]
1907951,ZD6716374,First Flight,delhi,29-Nov-2012,dehra dun,30-Nov-2012,Delivered
1907952,ZD6716375,First Flight,delhi,29-Nov-2012,sangrur,--,In Transit[Contact]
1907953,ZD6716376,First Flight,delhi,28-Nov-2012,ghaziabad,29-Nov-2012,Delivered
1907965,ZD6716377,First Flight,delhi,28-Nov-2012,ghaziabad,29-Nov-2012,Delivered
1907968,ZD6716378,First Flight,delhi,30-Nov-2012,kanpur,1-Dec-2012,Delivered
1907980,ZD6716379,First Flight,delhi,29-Nov-2012,kota,30-Nov-2012,Delivered
1907981,ZD6716380,First Flight,delhi,28-Nov-2012,ghaziabad,29-Nov-2012,Delivered
1907998,ZD6716381,First Flight,delhi,29-Nov-2012,sangrur,1-Dec-2012,Delivered
1908004,ZD6716382,First Flight,delhi,29-Nov-2012,jaipur,30-Nov-2012,Delivered
1908005,ZD6716383,First Flight,delhi,29-Nov-2012,rothak,30-Nov-2012,Delivered
1908008,ZD6716384,First Flight,delhi,28-Nov-2012,faridabad,29-Nov-2012,Delivered
1908016,ZD6716385,First Flight,delhi,28-Nov-2012,yamuna nagar,29-Nov-2012,Delivered
1908023,ZD6716386,First Flight,delhi,28-Nov-2012,gurgaon,29-Nov-2012,Delivered
1908024,ZD6716387,First Flight,delhi,28-Nov-2012,delhi,29-Nov-2012,Delivered
1908050,ZD6716388,First Flight,delhi,29-Nov-2012,sangrur,--,In Transit[Contact]
1908055,ZD6716389,First Flight,delhi,29-Nov-2012,saharanpur,--,In Transit[Contact]
1908071,ZD6716390,First Flight,delhi,28-Nov-2012,ghaziabad,29-Nov-2012,Delivered
1908077,ZD6716391,First Flight,delhi,29-Nov-2012,sangrur,1-Dec-2012,Delivered
1908080,ZD6716392,First Flight,delhi,29-Nov-2012,gorakhpur,3-Dec-2012,Delivered
1908095,ZD6716393,First Flight,delhi,28-Nov-2012,sonepat,30-Nov-2012,Return to origin
1908096,ZD6716394,First Flight,delhi,30-Nov-2012,lucknow,--,In Transit[Contact]
1908097,ZD6716395,First Flight,delhi,29-Nov-2012,jaipur,1-Dec-2012,Pending
1908102,ZD6716396,First Flight,delhi,29-Nov-2012,jaipur,30-Nov-2012,Delivered
1908105,ZD6716397,First Flight,delhi,29-Nov-2012,mohali,1-Dec-2012,Pending
1908114,ZD6716398,First Flight,delhi,30-Nov-2012,lucknow,3-Dec-2012,Delivered
1908121,ZD6716399,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Delivered
1908131,ZD6716400,First Flight,delhi,30-Nov-2012,barabanki,--,In Transit[Contact]
1908134,ZD6716401,First Flight,delhi,29-Nov-2012,karnal,30-Nov-2012,Delivered
1908137,ZD6716402,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Delivered
1908140,ZD6716403,First Flight,delhi,29-Nov-2012,ludhiana,--,In Transit[Contact]
1908145,ZD6716404,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Delivered
1908152,ZD6716405,First Flight,delhi,28-Nov-2012,ghaziabad,29-Nov-2012,Delivered
1908156,ZD6716406,First Flight,delhi,28-Nov-2012,faridabad,29-Nov-2012,Delivered
1908157,ZD6716407,First Flight,delhi,30-Nov-2012,kanpur,1-Dec-2012,Delivered
1908165,ZD6716408,First Flight,delhi,28-Nov-2012,panipet,29-Nov-2012,Delivered
1908166,ZD6716409,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Delivered
1908173,ZD6716410,First Flight,delhi,28-Nov-2012,faridabad,29-Nov-2012,Delivered
1908178,ZD6716411,First Flight,delhi,28-Nov-2012,kota,30-Nov-2012,Delivered
1908181,ZD6716412,First Flight,delhi,28-Nov-2012,gurgaon,30-Nov-2012,Delivered
1908185,ZD6716913,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908188,ZD6716413,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Delivered
1908193,ZD6716414,First Flight,delhi,28-Nov-2012,gurgaon,29-Nov-2012,Delivered
