1525306,X0089013,DTDC
1538998,X00894870,DTDC
1539848,X00894817,DTDC
1544178,X00898043,DTDC
1560043,X00898419,DTDC
1562628,X00898475,DTDC
1570772,Z71305708,DTDC
1573023,X00898701,DTDC
1573142,X00898750,DTDC
1574413,z71389660,DTDC
1576064,X00898717,DTDC
1576315,X00898787,DTDC
1579319,X00898602,DTDC
1582366,X00898736,DTDC
1585012,X00898074,DTDC
1585013,X00898075,DTDC
1585016,X00898072,DTDC
1589173,X00898795,DTDC
1591261,R17642917,DTDC
1594098,X00898870,DTDC
1594393,X00898875,DTDC
1594822,X00898814,DTDC
1599035,X01338050,DTDC
1599566,X01338056,DTDC
1603229,X01338104,DTDC
1604393,X01338124,DTDC
1604879,X01338131,DTDC
1606190,X01338152,DTDC
1609058,z71896801,DTDC
1609261,X00898835,DTDC
1611121,X00898845,DTDC
1611122,X00898836,DTDC
1613559,B87396668,DTDC
1616199,X01338452,DTDC
1616398,B87400651,DTDC
1616945,X01338444,DTDC
1618556,X01341627,DTDC
1619653,X01341645,DTDC
1620390,X01341662,DTDC
1621441,X01341678,DTDC
1621990,X01338493,DTDC
1625986,X01341739,DTDC
1627016,X01341756,DTDC
1630709,X00895030,DTDC
1632940,X01338459,DTDC
1634384,X01341894,DTDC
1638369,X01341554,DTDC
1639306,C42942416,DTDC
1640143,X01341917,DTDC
1641009,B87400864,DTDC
1641818,X01343544,DTDC
1641859,LR0022135,DTDC
1642211,X01341564,DTDC
1642254,X01341568,DTDC
1643980,B87400866,DTDC
1644593,R17642918,DTDC
1645133,X01343564,DTDC
1645714,X01345426,DTDC
1646251,X01343522,DTDC
1646493,X01343545,DTDC
1647011,X01343556,DTDC
1647145,X00898086,DTDC
1647239,X00898096,DTDC
1647683,X00898093,DTDC
1647728,Z71776237,DTDC
1648333,p 20561464,DTDC
1648574,C43017604,DTDC
1648802,X01343599,DTDC
1648998,X00950007,DTDC
1649128,X00950011,DTDC
1649215,X01345544,DTDC
1649270,X01345549,DTDC
1649433,X01345563,DTDC
1649566,X01345573,DTDC
1649612,X01345575,DTDC
1649675,X01345580,DTDC
1649741,X01345586,DTDC
1649969,X01345596,DTDC
1649995,X01345598,DTDC
1650098,X00950037,DTDC
1650101,X01345606,DTDC
1650285,X00950048,DTDC
1650329,Z75254000,DTDC
1650357,Z75254001,DTDC
1650512,Z75254008,DTDC
1650577,Z75254012,DTDC
1650619,Z75254015,DTDC
1650621,Z75254016,DTDC
1650622,Z75254017,DTDC
1650629,Z75254018,DTDC
1650694,Z75254021,DTDC
1650858,Z75254030,DTDC
1650958,X00950078,DTDC
1650963,Z75254038,DTDC
1651024,Z75254040,DTDC
1651043,Z75254041,DTDC
1651068,Z75254044,DTDC
1651071,X00950289,DTDC
1651121,Z75254046,DTDC
1651156,X00950084,DTDC
1651230,Z75254051,DTDC
1651300,Z75254055,DTDC
1651317,X00950092,DTDC
1651357,Z75254060,DTDC
1651374,X00950096,DTDC
1651388,Z75254064,DTDC
1651413,Z75254068,DTDC
1651425,X00950100,DTDC
1651435,Z75254072,DTDC
1651486,Z75254076,DTDC
1651493,Z75254079,DTDC
1651507,Z75254080,DTDC
1651519,X00950295,DTDC
1651614,Z75254089,DTDC
1651645,Z75254090,DTDC
1651683,Z75254091,DTDC
1651702,Z75254092,DTDC
1651752,X00950112,DTDC
1651843,Z75254098,DTDC
1651855,Z75254100,DTDC
1651869,Z75254101,DTDC
1652019,Z75254104,DTDC
1652022,Z75254105,DTDC
1652120,Z75254110,DTDC
1652164,Z75254114,DTDC
1652210,Z75254117,DTDC
1652277,Z75254123,DTDC
1652314,X00950128,DTDC
1652426,Z75254131,DTDC
1652460,Z75254134,DTDC
1652470,Z75254136,DTDC
1652503,Z75254139,DTDC
1652527,Z75254142,DTDC
1652578,Z75254146,DTDC
1652668,Z75254152,DTDC
1652739,X00950138,DTDC
1652862,Z75254165,DTDC
1652879,Z75254167,DTDC
1652908,Z75254168,DTDC
1652912,X00950142,DTDC
1653004,Z75254174,DTDC
1653042,Z75254181,DTDC
1653121,X00950150,DTDC
1653180,Z75254191,DTDC
1653238,X00950152,DTDC
1653288,Z75254199,DTDC
