Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1880807,Z77933729,DTDC,,,AHMEDABAD,Tue, Dec 04, 2012 0:20 PM,DELIVERED
1881058,Z77933647,DTDC,,,MEHSANA,,IN TRANSIT
1881182,Z77933705,DTDC,,,VIJAYAWADA,Mon, Nov 26, 2012 10:26 AM,DELIVERED
1881218,Z77933449,DTDC,,,DELHI,,REVERTED
1882081,Z77933422,DTDC,,,DELHI,Sat, Nov 24, 2012 2:30 PM,DELIVERED
1882244,Z75241827,DTDC,,,GUWAHATI,,FDM MANIFEST PREPARED
1883204,M81151013,DTDC,,,BHAWANIPATNA,Tue, Dec 04, 2012 11:35 AM,DELIVERED
1885026,Z77929118,DTDC,,,JALGAON,Mon, Dec 03, 2012 2:00 PM,DELIVERED
1885143,Z77929174,DTDC,,,JAMSHEDPUR,Mon, Dec 03, 2012 2:00 PM,DELIVERED
1886183,Z77929123,DTDC,,,,,
1886416,Z77929151,DTDC,,,KAKINADA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1887140,Z77929171,DTDC,,,KANCHIPURAM,Fri, Nov 30, 2012 4:35 PM,DELIVERED
1887391,Z77929205,DTDC,,,DHARAPURAM,Mon, Dec 03, 2012 11:00 AM,DELIVERED
1887445,Z77929129,DTDC,,,PUNE,Sat, Dec 01, 2012 11:05 AM,DELIVERED
1887515,Z77929207,DTDC,,,TALDANGRA,Mon, Dec 03, 2012 0:35 PM,DELIVERED
1887585,Z77929142,DTDC,,,LUDHIANA,Fri, Nov 30, 2012 0:31 PM,DELIVERED
1887587,Z77929208,DTDC,,,,,
1887600,Z77929184,DTDC,,,PUNE,Fri, Nov 30, 2012 4:32 PM,DELIVERED
1887705,Z77929185,DTDC,,,UDAIPUR,Thu, Nov 29, 2012 2:00 PM,DELIVERED
1887721,Z77929209,DTDC,,,GUNUPUR,Mon, Dec 03, 2012 1:30 PM,DELIVERED
1887736,Z77929187,DTDC,,,DELHI,,REVERTED
1888255,Z77929131,DTDC,,,ERODE,Sat, Dec 01, 2012 0:55 PM,DELIVERED
1888696,Z77929215,DTDC,,,BHADRAK,Fri, Nov 30, 2012 0:25 PM,DELIVERED
1888714,Z77929155,DTDC,,,TRICHUR,Mon, Dec 03, 2012 0:30 PM,DELIVERED
1888823,Z77929218,DTDC,,,DHENKANAL,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1888908,Z77929191,DTDC,,,SILCHAR,,IN TRANSIT
1889015,Z77929133,DTDC,,,NOIDA,Sun, Dec 02, 2012 0:11 PM,DELIVERED
1889108,Z77929134,DTDC,,,KOLKATA,Sat, Dec 01, 2012 3:50 PM,DELIVERED
1889276,Z77929111,DTDC,,,KOTDWARA,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1889304,Z77929163,DTDC,,,PANJIM,,IN TRANSIT
1889335,Z77929164,DTDC,,,JAMSHEDPUR,Sat, Dec 01, 2012 2:00 PM,DELIVERED
1889424,Z77929160,DTDC,,,JAIPUR,,IN TRANSIT
1889486,Z77929194,DTDC,,,COCHIN,,IN TRANSIT
1889537,Z77929195,DTDC,,,JAIPUR,Thu, Nov 29, 2012 11:05 AM,DELIVERED
1889578,Z77929136,DTDC,,,AMRITSAR,Sat, Dec 01, 2012 1:00 PM,DELIVERED
1889587,Z77929165,DTDC,,,RANAGHAT,Sat, Dec 01, 2012 1:59 PM,DELIVERED
1889591,Z77929214,DTDC,,,NAGPUR,Sat, Dec 01, 2012 3:35 PM,DELIVERED
1889601,Z77929137,DTDC,,,GULBARGA,Fri, Nov 30, 2012 3:00 PM,DELIVERED
1889723,M81151011,DTDC,,,SUNDERGARH,Sat, Dec 01, 2012 0:01 PM,DELIVERED
1889756,Z77929110,DTDC,,,SANGAREDDY,Sat, Dec 01, 2012 10:00 AM,DELIVERED
1889880,Z77929196,DTDC,,,PUNE,Fri, Nov 30, 2012 0:10 PM,DELIVERED
1889898,Z77929197,DTDC,,,KOLKATA,Sat, Dec 01, 2012 0:30 PM,DELIVERED
1889901,Z77929162,DTDC,,,DELHI,,REVERTED
1889952,Z77929143,DTDC,,,HUZURABAD,Sat, Dec 01, 2012 0:20 PM,DELIVERED
1890078,Z77929166,DTDC,,,AGARTALA,Fri, Dec 07, 2012 3:56 PM,DELIVERED
1890086,Z77929198,DTDC,,,BARODA,Fri, Nov 30, 2012 0:20 PM,DELIVERED
1890098,Z77929138,DTDC,,,AHMEDABAD,Fri, Dec 07, 2012 11:00 AM,DELIVERED
1890112,Z77929199,DTDC,,,BARODA,Fri, Nov 30, 2012 1:10 PM,DELIVERED
1890151,Z77929140,DTDC,,,PUNE,Sat, Dec 01, 2012 1:20 PM,DELIVERED
1890179,Z77928943,DTDC,,,BANGALORE,Wed, Dec 05, 2012 3:05 PM,DELIVERED
1890180,Z77928944,DTDC,,,PANTNAGAR,Mon, Dec 03, 2012 2:20 PM,DELIVERED
1890186,Z77928946,DTDC,,,CHENNAI,Sat, Dec 01, 2012 1:45 PM,DELIVERED
1890189,Z77928947,DTDC,,,INDORE,Fri, Nov 30, 2012 3:50 PM,DELIVERED
1890191,Z77928948,DTDC,,,AHMEDABAD,Fri, Nov 30, 2012 1:24 PM,DELIVERED
1890195,Z77928950,DTDC,,,DELHI,Wed, Nov 28, 2012 0:00 PM,DELIVERED
1890200,Z77928953,DTDC,,,CHENNAI,Sat, Dec 01, 2012 1:48 PM,DELIVERED
1890208,Z77928955,DTDC,,,DONIMALAI,Sat, Dec 01, 2012 0:05 PM,DELIVERED
1890209,Z77928956,DTDC,,,CHIDAMBARAM,Fri, Nov 30, 2012 4:00 PM,DELIVERED
1890212,Z77928958,DTDC,,,BALASORE,Sat, Dec 01, 2012 0:30 PM,DELIVERED
1890213,Z77928959,DTDC,,,HARDWAR,Fri, Nov 30, 2012 2:00 PM,DELIVERED
1890218,Z77928960,DTDC,,,NASIK,Sat, Dec 01, 2012 1:50 PM,DELIVERED
1890219,Z77928961,DTDC,,,CHENNAI,Fri, Nov 30, 2012 0:30 PM,DELIVERED
1890220,Z77928962,DTDC,,,MUMBAI,Fri, Nov 30, 2012 10:00 AM,DELIVERED
1890221,Z77928963,DTDC,,,KHAMMAM,Sat, Dec 01, 2012 3:20 PM,DELIVERED
1890226,Z77928966,DTDC,,,AHMEDABAD,Fri, Nov 30, 2012 1:25 PM,DELIVERED
1890229,Z77928967,DTDC,,,BHIMAVARAM,Fri, Nov 30, 2012 7:20 PM,DELIVERED
1890232,Z77928968,DTDC,,,AHMEDABAD,,OUT FOR DELIVERY
1890233,Z77928969,DTDC,,,RANCHI,Fri, Nov 30, 2012 4:00 PM,DELIVERED
1890237,Z77928971,DTDC,,,VIZIANAGARAM,Sun, Dec 02, 2012 0:02 PM,DELIVERED
1890241,Z77928972,DTDC,,,GURGAON,Sun, Dec 02, 2012 11:30 AM,DELIVERED
1890242,Z77928973,DTDC,,,MANIPAL,Mon, Dec 03, 2012 10:00 AM,DELIVERED
1890262,Z77928994,DTDC,,,DONIMALAI,Sat, Dec 01, 2012 0:10 PM,DELIVERED
1890285,Z77928981,DTDC,,,DONIMALAI,Mon, Dec 03, 2012 0:06 PM,DELIVERED
1890332,Z77928995,DTDC,,,KAVALI,Mon, Dec 03, 2012 0:11 PM,DELIVERED
1890362,Z77928974,DTDC,,,CUDDAPAH,Fri, Nov 30, 2012 11:00 AM,DELIVERED
1890418,Z77928997,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:21 PM,DELIVERED
1890433,Z77928998,DTDC,,,FATEHPUR,Mon, Dec 03, 2012 0:33 PM,DELIVERED
1890459,Z77928999,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890463,Z77928975,DTDC,,,PATIALA,Mon, Dec 03, 2012 11:45 AM,DELIVERED
1890464,Z77929000,DTDC,,,HYDERABAD,Sat, Dec 01, 2012 1:10 AM,DELIVERED
1890499,Z77929001,DTDC,,,,,
1890525,Z77928976,DTDC,,,BAKRESWAR,Sat, Dec 01, 2012 2:00 PM,DELIVERED
1890541,Z77929002,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890564,Z77929003,DTDC,,,HISSAR,,IN TRANSIT
1890580,Z77929004,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890609,Z77929005,DTDC,,,SATARA,Tue, Dec 04, 2012 1:00 PM,DELIVERED
1890614,Z77929006,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:21 PM,DELIVERED
1890627,Z77929007,DTDC,,,KOTTUR,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1890655,Z77928982,DTDC,,,KOTTUR,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1890657,Z77928977,DTDC,,,KALA AMB,Thu, Nov 29, 2012 0:21 PM,DELIVERED
1890666,Z77929008,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890707,Z77929009,DTDC,,,KHED,Sun, Dec 02, 2012 8:20 PM,DELIVERED
1890736,Z77929010,DTDC,,,KOTTUR,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1890749,Z77928978,DTDC,,,HISSAR,,IN TRANSIT
1890759,Z77929011,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890801,Z77928979,DTDC,,,KOTA,Thu, Dec 06, 2012 11:20 AM,DELIVERED
1890821,Z77929012,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890881,Z77929013,DTDC,,,JAIPUR,Sat, Dec 01, 2012 1:05 PM,DELIVERED
1890882,Z77929014,DTDC,,,KOTTUR,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1890895,Z77929015,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890915,Z77929016,DTDC,,,NANDYAL,Sat, Dec 01, 2012 10:30 AM,DELIVERED
1890925,Z77929017,DTDC,,,NELLORE,Fri, Dec 07, 2012 11:00 AM,DELIVERED
1890926,Z77928980,DTDC,,,HALDWANI,,IN TRANSIT
1890971,Z77929018,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1890973,Z77929019,DTDC,,,DHAR,Mon, Dec 03, 2012 3:05 PM,DELIVERED
1890979,Z77929020,DTDC,,,UJJAIN,Wed, Dec 05, 2012 2:11 PM,DELIVERED
1890990,Z77928989,DTDC,,,INDORE,,OUT FOR DELIVERY
1891041,Z77929021,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891114,Z77929022,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891142,Z77929023,DTDC,,,KAVALI,Sat, Dec 01, 2012 0:12 PM,DELIVERED
1891156,Z77929024,DTDC,,,DACHEPALLI,Mon, Dec 03, 2012 0:00 PM,DELIVERED
1891161,Z77929025,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891183,Z77928983,DTDC,,,CUDDAPAH,Fri, Nov 30, 2012 11:20 AM,DELIVERED
1891220,Z77929026,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891227,Z77929027,DTDC,,,NALGONDA,Mon, Dec 03, 2012 11:00 AM,DELIVERED
1891232,Z77929028,DTDC,,,NELLORE,,ATTEMPTED
1891253,Z77929029,DTDC,,,GUNTAKAL,Sat, Dec 01, 2012 0:30 PM,DELIVERED
1891284,Z77929030,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891307,Z77929031,DTDC,,,CUDDAPAH,Sat, Dec 01, 2012 11:00 AM,DELIVERED
1891317,Z77929032,DTDC,,,KAVALI,Mon, Dec 03, 2012 0:12 PM,DELIVERED
1891356,Z77929033,DTDC,,,HYDERABAD,Sat, Dec 01, 2012 0:10 PM,DELIVERED
1891380,Z77929034,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891402,Z77929035,DTDC,,,SHAHJAHANPUR -UP,Sat, Dec 01, 2012 9:45 AM,DELIVERED
1891411,Z77929036,DTDC,,,RAJKOT,Sat, Dec 01, 2012 10:15 AM,DELIVERED
1891423,Z77929037,DTDC,,,DACHEPALLI,Mon, Dec 03, 2012 11:00 AM,DELIVERED
1891428,Z77929038,DTDC,,,MUZAFFARPUR,,IN TRANSIT
1891431,Z77929039,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:21 PM,DELIVERED
1891438,Z77929210,DTDC,,,HAVERI,Fri, Nov 30, 2012 1:00 PM,DELIVERED
1891486,Z77929040,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891538,Z77929041,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891545,Z77929042,DTDC,,,PIDUGURALLA,Mon, Dec 03, 2012 5:20 PM,DELIVERED
1891596,Z77929043,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891602,Z77929044,DTDC,,,HYDERABAD,Sat, Dec 01, 2012 3:50 PM,DELIVERED
1891613,Z77929045,DTDC,,,RAMPURHAT,Thu, Dec 06, 2012 11:45 AM,DELIVERED
1891645,Z77929046,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891651,Z77929047,DTDC,,,DARWHA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1891655,Z77929048,DTDC,,,NANDED,Mon, Dec 03, 2012 0:55 PM,DELIVERED
1891659,Z77929049,DTDC,,,RAJKOT,Sat, Dec 01, 2012 10:20 AM,DELIVERED
1891663,Z77929050,DTDC,,,NELLORE,Wed, Dec 05, 2012 11:00 AM,DELIVERED
1891668,Z77929051,DTDC,,,ARAMBAGH,Tue, Dec 04, 2012 9:40 AM,DELIVERED
1891715,Z77929052,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891723,Z77929053,DTDC,,,ADONI,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1891750,Z77929054,DTDC,,,MARTUR,Sat, Dec 01, 2012 11:24 AM,DELIVERED
1891766,Z77929055,DTDC,,,HYDERABAD,Fri, Nov 30, 2012 4:54 AM,DELIVERED
1891769,Z77929056,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891771,Z77929057,DTDC,,,NUZVEEDU,Sat, Dec 01, 2012 10:30 AM,DELIVERED
1891837,Z77929058,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891876,Z77929059,DTDC,,,BHIMAVARAM,Sat, Dec 01, 2012 2:00 PM,DELIVERED
1891958,Z77929060,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1891979,Z77929061,DTDC,,,NUZVEEDU,Sat, Dec 01, 2012 10:30 AM,DELIVERED
1891982,Z77929062,DTDC,,,DARWHA,Mon, Dec 03, 2012 11:15 AM,DELIVERED
1891983,Z77929063,DTDC,,,VIJAYAWADA,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1892035,Z77929064,DTDC,,,,,
1892077,Z77929065,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892121,Z77929066,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892144,Z77929067,DTDC,,,VIJAYAWADA,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1892173,Z77929068,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892218,Z77929069,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892229,Z77929070,DTDC,,,VIJAYAWADA,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1892262,Z77929071,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892274,Z77929072,DTDC,,,KOTTUR,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1892284,Z77929073,DTDC,,,JAIPUR,Tue, Dec 04, 2012 11:00 AM,DELIVERED
1892296,Z77929074,DTDC,,,NUZVEEDU,Sat, Dec 01, 2012 10:30 AM,DELIVERED
1892311,Z77929075,DTDC,,,VIJAYAWADA,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1892314,Z77929076,DTDC,,,KURUKSHETRA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892355,Z77929077,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892360,Z77929078,DTDC,,,NAIDUPET,Mon, Dec 03, 2012 11:00 AM,DELIVERED
1892404,Z77929211,DTDC,,,CHENNAI,Sun, Dec 02, 2012 0:35 PM,DELIVERED
1892424,Z77929079,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892435,Z77929080,DTDC,,,VIJAYAWADA,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1892458,Z77929081,DTDC,,,CHENNAI,Wed, Dec 05, 2012 0:12 AM,DELIVERED
1892489,Z77929082,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892502,Z77928984,DTDC,,,CHENNAI,Sun, Dec 02, 2012 0:30 PM,DELIVERED
1892536,Z77929083,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892578,Z77929084,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 3:49 PM,DELIVERED
1892593,Z77929085,DTDC,,,JAMNAGAR,Sat, Dec 01, 2012 11:35 AM,DELIVERED
1892637,Z77929086,DTDC,,,HARIPAL,Tue, Dec 04, 2012 0:10 PM,DELIVERED
1892638,Z77929087,DTDC,,,,,
1892677,Z77929167,DTDC,,,PUNE,Thu, Nov 29, 2012 5:00 PM,DELIVERED
1892681,Z77929088,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892720,Z77929089,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892727,Z77929090,DTDC,,,HARIPAL,Tue, Dec 04, 2012 0:10 PM,DELIVERED
1892754,Z77929091,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892771,Z77929092,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892786,Z77929093,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892796,Z77929094,DTDC,,,GWALIOR,,IN TRANSIT
1892825,Z77929095,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892828,Z77929096,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892847,Z77929097,DTDC,,,RAJKOT,Sat, Dec 01, 2012 10:25 AM,DELIVERED
1892853,Z77929098,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892860,Z77929099,DTDC,,,KURUKSHETRA,Fri, Nov 30, 2012 3:50 PM,DELIVERED
1892880,Z77929100,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892898,Z77929101,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892908,Z77929102,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892934,Z77929103,DTDC,,,SHAHABAD MARKANDA,Fri, Nov 30, 2012 1:13 PM,DELIVERED
1892935,Z77929104,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892941,Z77929105,DTDC,,,ALWAYE,Sat, Dec 01, 2012 2:00 PM,DELIVERED
1892977,Z77929106,DTDC,,,BHATINDA,Mon, Dec 03, 2012 11:11 AM,DELIVERED
1892980,b88479988,DTDC,,,ZAHEERABAD,Wed, Nov 28, 2012 10:00 AM,DELIVERED
1893009,Z77929107,DTDC,,,PANIPAT,Fri, Nov 30, 2012 11:00 AM,DELIVERED
1893041,Z77929108,DTDC,,,BARODA,Fri, Nov 30, 2012 0:31 PM,DELIVERED
1893068,Z77928985,DTDC,,,KOTHAGUDEM,Fri, Nov 30, 2012 3:00 AM,DELIVERED
1893077,Z77929109,DTDC,,,PATIALA,Mon, Dec 03, 2012 11:20 AM,DELIVERED
1893260,Z77929141,DTDC,,,SALEM,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1893327,Z77929158,DTDC,,,NASIK,Tue, Dec 04, 2012 0:15 PM,DELIVERED
1893393,Z77929216,DTDC,,,THANE,Thu, Nov 29, 2012 0:00 PM,DELIVERED
1894119,Z77929201,DTDC,,,DELHI,Thu, Nov 29, 2012 0:00 PM,DELIVERED
1894147,Z77929202,DTDC,,,JAMSHEDPUR,Sat, Dec 01, 2012 4:20 PM,DELIVERED
1894460,Z77929168,DTDC,,,CHENNAI,Fri, Nov 30, 2012 1:20 PM,DELIVERED
1894499,X01555851,DTDC,,,KARIMNAGAR,Thu, Nov 29, 2012 0:00 AM,DELIVERED
1894556,A24664777,DTDC,,,VISHAKAPATNAM,Sat, Dec 01, 2012 11:45 AM,DELIVERED
1894608,Z77929169,DTDC,,,DELHI,Fri, Nov 30, 2012 2:41 PM,DELIVERED
1894687,Z77929172,DTDC,,,PATIALA,Mon, Dec 03, 2012 10:40 AM,DELIVERED
1894725,Z77928992,DTDC,,,BIRPUR,Sat, Dec 01, 2012 7:16 PM,DELIVERED
1894762,Z77928993,DTDC,,,JAMNAGAR,Fri, Nov 30, 2012 11:40 AM,DELIVERED
1894882,Z77928986,DTDC,,,CHENNAI,Sun, Dec 02, 2012 0:35 PM,DELIVERED
1894918,Z77928987,DTDC,,,KURNOOL,,ATTEMPTED
1895201,Z77929212,DTDC,,,CUDDAPAH,Tue, Dec 04, 2012 0:00 PM,DELIVERED
1895208,Z77929170,DTDC,,,MYSORE,Fri, Nov 30, 2012 2:00 PM,DELIVERED
1895407,Z77929222,DTDC,,,AHMEDABAD,Fri, Nov 30, 2012 1:00 PM,DELIVERED
1895414,Z77929203,DTDC,,,RAICHUR,Sat, Dec 01, 2012 9:44 AM,DELIVERED
1895420,Z75241828,DTDC,,,JAIPUR,Thu, Nov 29, 2012 0:00 PM,DELIVERED
1895484,X01555852,DTDC,,,BANGALORE,Fri, Nov 30, 2012 9:57 PM,DELIVERED
1895546,Z77928988,DTDC,,,KHAMMAM,Fri, Nov 30, 2012 10:12 AM,DELIVERED
1895693,Z75241826,DTDC,,,MUMBAI,,OUT FOR DELIVERY
1895694,Z77929219,DTDC,,,VASAI,Thu, Nov 29, 2012 0:55 PM,DELIVERED
1895747,Z77929204,DTDC,,,ANGUL,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1895766,Z78354163,DTDC,,,BANGALORE,Mon, Dec 03, 2012 2:00 PM,DELIVERED
1898978,Z78251709,DTDC,,,DELHI,Wed, Nov 28, 2012 11:00 AM,DELIVERED
1912458,A24568742,DTDC,,,MUMBAI,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1915945,A24568744,DTDC,,,JHARSUGUDA,Fri, Nov 30, 2012 0:00 PM,DELIVERED
1916023,A24568745,DTDC,,,,,
1918839,A24568743,DTDC,,,GURGAON,Fri, Nov 30, 2012 1:00 PM,DELIVERED
1823226,d11163113,DTDC,,,ANANTNAG,Wed, Dec 05, 2012 11:11 AM,DELIVERED
1868989,Z77931892,DTDC,,,JAIPUR,Wed, Dec 05, 2012 0:06 PM,DELIVERED
1878689,B88532647,DTDC,,,BARRACKPORE,Sat, Dec 01, 2012 10:00 AM,DELIVERED
1883463,Z77929374,DTDC,,,BARODA,Mon, Dec 10, 2012 2:30 PM,DELIVERED
1883489,Z77929375,DTDC,,,KATPADI,,IN TRANSIT
1884064,Z77929379,DTDC,,,AHMEDABAD,Sat, Dec 08, 2012 11:48 AM,DELIVERED
1884603,Z77929384,DTDC,,,CHENNAI,Fri, Nov 30, 2012 4:25 PM,DELIVERED
1884690,Z77929385,DTDC,,,SURAT,,IN TRANSIT
1884776,Z77929387,DTDC,,,BARODA,Thu, Dec 06, 2012 0:20 PM,DELIVERED
1885002,Z77929393,DTDC,,,SHIMLA,,ATTEMPTED
1885027,Z77929395,DTDC,,,VASHI,Mon, Dec 03, 2012 4:20 PM,DELIVERED
1885082,Z77929235,DTDC,,,COIMBATORE,,IN TRANSIT
1885337,D11115078,DTDC,,,VISHAKAPATNAM,Tue, Dec 04, 2012 11:30 AM,DELIVERED
1885364,Z77929237,DTDC,,,KAVALI,Tue, Dec 04, 2012 11:55 PM,DELIVERED
1885565,Z77929240,DTDC,,,KANCHIPURAM,Sat, Dec 01, 2012 0:50 PM,DELIVERED
1885642,Z77929397,DTDC,,,KOLKATA,Mon, Dec 03, 2012 3:15 PM,DELIVERED
1885721,Z77929398,DTDC,,,KOLKATA,Mon, Dec 03, 2012 3:15 PM,DELIVERED
1885723,Z77929242,DTDC,,,GURGAON,Thu, Nov 29, 2012 0:00 PM,DELIVERED
1886448,Z77929283,DTDC,,,PUNE,Tue, Dec 04, 2012 4:33 PM,DELIVERED
1886574,Z77929404,DTDC,,,DELHI,,IN TRANSIT
1886774,Z77929406,DTDC,,,CUDDALORE,Fri, Nov 30, 2012 11:00 AM,DELIVERED
1886843,Z77929408,DTDC,,,PUNE,Sat, Dec 01, 2012 0:35 PM,DELIVERED
1886946,Z77929409,DTDC,,,UDAIPUR,Sat, Dec 01, 2012 2:00 PM,DELIVERED
1887022,Z77929411,DTDC,,,BHARUCH,Tue, Dec 04, 2012 3:00 PM,DELIVERED
1887078,Z77929466,DTDC,,,JAMMU,Thu, Dec 06, 2012 2:38 PM,DELIVERED
1887161,Z77929247,DTDC,,,HASSAN,Fri, Nov 30, 2012 11:45 AM,DELIVERED
1887308,Z77929248,DTDC,,,GAUTAM BUDH NAGAR,Thu, Nov 29, 2012 1:25 PM,DELIVERED
1887319,Z77929156,DTDC,,,RANCHI,Sat, Dec 01, 2012 4:00 PM,DELIVERED
1887363,Z77929249,DTDC,,,BANGALORE,Fri, Nov 30, 2012 3:20 PM,DELIVERED
1887417,Z77929453,DTDC,,,KOLKATA,Sat, Dec 01, 2012 2:00 PM,DELIVERED
1887501,Z77929413,DTDC,,,GAYA,Tue, Dec 04, 2012 2:20 PM,DELIVERED
1887507,Z77929414,DTDC,,,HYDERABAD,,OUT FOR DELIVERY
1887510,Z77929250,DTDC,,,BHARUCH,Mon, Dec 10, 2012 2:00 PM,DELIVERED
1887567,Z77929251,DTDC,,,MUMBAI,Sat, Dec 01, 2012 2:15 AM,DELIVERED
1887569,Z77929252,DTDC,,,DELHI,Thu, Nov 29, 2012 11:00 AM,DELIVERED
1887586,Z77929364,DTDC,,,LUDHIANA,Sat, Dec 01, 2012 0:31 PM,DELIVERED
1887588,Z77929415,DTDC,,,PALGHAR,Tue, Dec 04, 2012 1:25 PM,DELIVERED
1887605,Z77929253,DTDC,,,DELHI,Thu, Nov 29, 2012 0:00 PM,DELIVERED
1887653,Z77929288,DTDC,,,MUMBAI,Mon, Dec 03, 2012 4:20 PM,DELIVERED
1887679,Z77929254,DTDC,,,DELHI,Thu, Nov 29, 2012 3:30 AM,DELIVERED
