Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1861799,Z78163832,DTDC,,,YERRAGUNTLA,Fri, Dec 07, 2012 8:00 PM,DELIVERED
1862450,Z78163840,DTDC,,,SAMBALPUR,,ATTEMPTED
1863247,Z78163850,DTDC,,,BIRPUR,Tue, Nov 27, 2012 4:27 PM,DELIVERED
1863280,Z78163852,DTDC,,,VARANASI,Wed, Dec 05, 2012 1:23 PM,DELIVERED
1863332,Z78163854,DTDC,,,AMBALA,,RTO IN TRANSIT
1863395,Z78163857,DTDC,,,BELGAUM,Sat, Dec 01, 2012 1:00 PM,DELIVERED
1863645,Z78163864,DTDC,,,BELGAUM,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1863706,Z78163867,DTDC,,,KOLHAPUR,Mon, Dec 03, 2012 0:00 PM,DELIVERED
1863714,Z78163868,DTDC,,,BERHAMPUR -OR,Mon, Dec 03, 2012 11:35 AM,DELIVERED
1864351,Z78163880,DTDC,,,KANIHA,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1864358,Z78163881,DTDC,,,KUTCH,,IN TRANSIT
1864405,Z78163882,DTDC,,,BARODA,Mon, Dec 03, 2012 0:31 PM,DELIVERED
1864561,Z78163884,DTDC,,,ANANTHPUR,,IN TRANSIT
1864572,Z78163885,DTDC,,,ONGOLE,,ATTEMPTED
1864661,Z78163892,DTDC,,,BERHAMPUR -OR,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1864788,Z78163893,DTDC,,,BERHAMPUR -OR,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1864819,Z78163894,DTDC,,,DELHI,,RETURN TO ORIGIN
1864943,Z78163898,DTDC,,,QUILON,Fri, Dec 07, 2012 4:00 PM,DELIVERED
1864963,Z78163899,DTDC,,,INDORE,,ATTEMPTED
1864996,Z78163903,DTDC,,,DELHI,,OUT FOR DELIVERY
1865013,Z78163913,DTDC,,,BHATINDA,,ATTEMPTED
1865016,Z78163914,DTDC,,,JALANDHAR,,OUT FOR DELIVERY
1865024,Z78163918,DTDC,,,BANGALORE,,OUT FOR DELIVERY
1865033,Z78163926,DTDC,,,TRICHUR,Mon, Dec 03, 2012 0:30 PM,DELIVERED
1865040,Z78163929,DTDC,,,RAIPUR,,IN TRANSIT
1865045,Z78163932,DTDC,,,CHENNAI,Tue, Dec 04, 2012 0:30 PM,DELIVERED
1865050,Z78163934,DTDC,,,SURAT,Tue, Dec 04, 2012 7:21 PM,DELIVERED
1865067,Z78163944,DTDC,,,AHMEDABAD,Thu, Dec 06, 2012 2:35 PM,DELIVERED
1865068,Z78163945,DTDC,,,AHMEDABAD,,IN TRANSIT
1865077,Z78163949,DTDC,,,CHENNAI,Tue, Dec 04, 2012 4:20 PM,DELIVERED
1865078,Z78163950,DTDC,,,PUNE,Tue, Dec 04, 2012 4:32 PM,DELIVERED
1865088,Z78163957,DTDC,,,JALGAON,Wed, Dec 05, 2012 11:40 AM,DELIVERED
1865100,Z78163964,DTDC,,,ATHANI -COCHIN,Mon, Dec 03, 2012 4:00 PM,DELIVERED
1865110,Z78163971,DTDC,,,COIMBATORE,Mon, Dec 03, 2012 0:10 PM,DELIVERED
1865113,Z78163972,DTDC,,,BANGALORE,Mon, Dec 03, 2012 2:10 PM,DELIVERED
1865115,Z78163973,DTDC,,,SALEM,Mon, Dec 03, 2012 11:30 AM,DELIVERED
1865124,Z78163978,DTDC,,,CHENNAI,Mon, Dec 03, 2012 0:14 PM,DELIVERED
1865127,Z78163980,DTDC,,,PUNE,Wed, Dec 05, 2012 3:52 PM,DELIVERED
1865150,Z78163995,DTDC,,,KOLKATA,Sat, Dec 01, 2012 2:51 PM,DELIVERED
1865152,Z78163997,DTDC,,,CUTTACK,Tue, Dec 04, 2012 0:49 PM,DELIVERED
1865159,Z78164001,DTDC,,,BANGALORE,Mon, Dec 03, 2012 1:10 PM,DELIVERED
1865160,Z78164002,DTDC,,,,,
1865169,Z78164008,DTDC,,,PUNE,Sat, Dec 01, 2012 1:20 PM,DELIVERED
1865173,Z78164009,DTDC,,,COIMBATORE,Tue, Dec 04, 2012 11:25 AM,DELIVERED
1865187,Z78164016,DTDC,,,BELGAUM,Wed, Dec 05, 2012 0:20 PM,DELIVERED
1865197,Z78164022,DTDC,,,PURI,Mon, Dec 03, 2012 10:02 AM,DELIVERED
1865201,Z78164025,DTDC,,,DELHI,,RETURN TO ORIGIN
1865203,Z78164026,DTDC,,,JALANDHAR,,OUT FOR DELIVERY
1865207,Z78164027,DTDC,,,MYSORE,Tue, Dec 04, 2012 0:00 PM,DELIVERED
1865208,Z78164028,DTDC,,,BANGALORE,Mon, Dec 03, 2012 1:20 PM,DELIVERED
1865237,Z78164046,DTDC,,,AHMEDABAD,,ATTEMPTED
1865244,Z78164050,DTDC,,,MUMBAI,Tue, Dec 04, 2012 4:05 PM,DELIVERED
1865252,Z78164055,DTDC,,,BANSWARA,Mon, Nov 26, 2012 0:14 AM,DELIVERED
1865272,Z78164070,DTDC,,,LATUR,Tue, Dec 04, 2012 9:30 AM,DELIVERED
1865278,Z78164074,DTDC,,,DELHI,,RETURN TO ORIGIN
1865294,Z78164082,DTDC,,,BERHAMPUR -OR,Mon, Dec 03, 2012 11:45 AM,DELIVERED
1865295,Z78164083,DTDC,,,GUWAHATI,Tue, Dec 04, 2012 10:55 PM,DELIVERED
1865304,Z78164089,DTDC,,,ASANSOL,Mon, Dec 03, 2012 4:35 PM,DELIVERED
1865319,Z78164100,DTDC,,,BARODA,Tue, Dec 04, 2012 0:31 PM,DELIVERED
1865344,Z78164114,DTDC,,,DELHI,,IN TRANSIT
1865348,Z78164117,DTDC,,,BARODA,Tue, Dec 04, 2012 0:15 PM,DELIVERED
1865363,Z78164125,DTDC,,,MUMBAI,Tue, Dec 04, 2012 4:15 AM,DELIVERED
1865366,Z78164127,DTDC,,,CANNANORE,Tue, Dec 04, 2012 0:50 PM,DELIVERED
1865368,Z78164129,DTDC,,,JALANDHAR,,OUT FOR DELIVERY
1865371,Z78164130,DTDC,,,VAPI,Sat, Dec 01, 2012 0:40 PM,DELIVERED
1865386,Z78164140,DTDC,,,DELHI,,RETURN TO ORIGIN
1865387,Z78164141,DTDC,,,,,
1866084,Z78163570,DTDC,,,BHUBANESHWAR,Mon, Dec 03, 2012 11:35 AM,DELIVERED
1866149,Z78163619,DTDC,,,CHENNAI,Fri, Dec 07, 2012 1:00 PM,DELIVERED
1866619,Z78163454,DTDC,,,PUNE,Mon, Dec 03, 2012 11:00 AM,DELIVERED
1866662,Z78163470,DTDC,,,VASHI,Tue, Dec 04, 2012 11:50 AM,DELIVERED
1866700,Z78163490,DTDC,,,SAMBALPUR,,ATTEMPTED
1866784,Z78163499,DTDC,,,RAJKOT,,IN TRANSIT
1866847,Z78163503,DTDC,,,RAJKOT,,IN TRANSIT
1867093,Z78163507,DTDC,,,JAIPUR,,ATTEMPTED
1867101,Z78163508,DTDC,,,AHMEDABAD,Sat, Dec 01, 2012 10:30 AM,DELIVERED
1867297,Z78163516,DTDC,,,GUNTUR,Mon, Dec 03, 2012 1:21 PM,DELIVERED
1867390,Z78163521,DTDC,,,SANGRUR,Mon, Dec 03, 2012 1:13 PM,DELIVERED
1867420,Z78163524,DTDC,,,RAIPUR,Thu, Nov 29, 2012 0:20 PM,DELIVERED
1867473,Z78163528,DTDC,,,CHENNAI,Tue, Dec 04, 2012 0:10 PM,DELIVERED
1867525,Z78163531,DTDC,,,GANDHINAGAR,Mon, Dec 03, 2012 0:45 PM,DELIVERED
1867894,Z78163541,DTDC,,,GUNTUR,,ATTEMPTED
1867908,Z78163542,DTDC,,,GUNTUR,,ATTEMPTED
1868233,Z78163549,DTDC,,,DELHI,,IN TRANSIT
1868355,Z78163582,DTDC,,,DHARWAD,Sat, Nov 24, 2012 0:34 PM,DELIVERED
1868445,Z78163564,DTDC,,,CUDDAPAH,,IN TRANSIT
1868630,Z78163618,DTDC,,,PATNA,,OUT FOR DELIVERY
1868918,Z78163595,DTDC,,,CHENNAI,Tue, Dec 04, 2012 11:50 AM,DELIVERED
1833708,M80746180,DTDC,,,NAGPUR,,ATTEMPTED
1846646,D11115085,DTDC,,,,,
1847804,Z75241809,DTDC,,,DELHI,,RTO IN TRANSIT
1848643,Z75241968,DTDC,,,SURAT,Tue, Dec 04, 2012 3:00 PM,DELIVERED
1848792,Z75241778,DTDC,,,DELHI,,REVERTED
1849863,Z75241957,DTDC,,,WARANGAL,,IN TRANSIT
1851556,Z75241765,DTDC,,,DELHI,,RETURN TO ORIGIN
1852696,Z75241808,DTDC,,,DELHI,,RETURN TO ORIGIN
1852976,Z75241715,DTDC,,,DELHI,,RETURN TO ORIGIN
1853006,Z75241960,DTDC,,,SURAT,Wed, Dec 05, 2012 1:00 PM,DELIVERED
1853096,Z75241799,DTDC,,,DELHI,,REVERTED
1853172,Z75241705,DTDC,,,DELHI,,RETURN TO ORIGIN
1853954,Z75241976,DTDC,,,DELHI,,RTO IN TRANSIT
1855090,Z75241803,DTDC,,,DELHI,,RTO IN TRANSIT
1855236,Z75241783,DTDC,,,DELHI,,OUT FOR DELIVERY
1855635,Z75241943,DTDC,,,DELHI,,REVERTED
1857851,Z75241740,DTDC,,,JAIPUR,Mon, Nov 26, 2012 10:13 AM,DELIVERED
1857951,Z75241704,DTDC,,,AJMER,,IN TRANSIT
1858191,Z75241730,DTDC,,,KANPUR,,ATTEMPTED
1858205,Z75241706,DTDC,,,DELHI,,REVERTED
1858283,Z75241978,DTDC,,,SRINAGAR -JK,,IN TRANSIT
1858929,Z75241923,DTDC,,,DELHI,,REVERTED
1861092,Z75241956,DTDC,,,SAMBALPUR,,ATTEMPTED
1861151,Z75241962,DTDC,,,KUTCH,,IN TRANSIT
1861171,Z75241959,DTDC,,,MUMBAI,,OUT FOR DELIVERY
1861491,Z75241768,DTDC,,,DELHI,,RTO IN TRANSIT
1861713,Z75241718,DTDC,,,BUXRAH,Wed, Nov 28, 2012 4:00 PM,DELIVERED
1861861,Z75241963,DTDC,,,TRICHUR,,ATTEMPTED
1862650,Z75241969,DTDC,,,DELHI,,REVERTED
1864195,Z75241967,DTDC,,,BARODA,,RTO IN TRANSIT
1865038,Z75241793,DTDC,,,BARODA,,RTO IN TRANSIT
1865083,Z75241771,DTDC,,,MUZAFFARPUR,Mon, Dec 03, 2012 0:46 PM,DELIVERED
1865659,Z75241791,DTDC,,,JALANDHAR,,OUT FOR DELIVERY
1865716,Z75241971,DTDC,,,MUMBAI,,IN TRANSIT
